,uuid,predicate_id,predicate_label,obj_label,sub_label,sub_uri,gender
32,7c476fc2-3b67-41a9-b4ac-045b2bf2edcd,P20,place of death,Pittsburgh,Hilary Masters,Q3785608,male
33,b538cf6e-9e2d-4763-96c0-84bc67a7b0f3,P20,place of death,Kent,Thomas Walsingham,Q7794865,male
34,5c31c586-ad2c-4612-bf3b-c77ffabf9647,P20,place of death,Sofia,Dimitar Nenov,Q1225831,male
35,e9e1fc06-82b1-4543-92c8-64c84c9c92c2,P20,place of death,Hollywood,Charles Laughton,Q55264,male
36,4423ef1a-993c-4350-9bb9-edfb27f4b345,P20,place of death,Frankfurt,Eliakim Carmoly,Q303765,male
37,bdb7a382-e972-43e0-9e9a-d4de8baa6e45,P20,place of death,Milan,Beatrice d’Este,Q813280,female
38,e0947bd9-d0ad-4da0-a84f-009bad9dcea2,P20,place of death,Paris,Serge Nigg,Q1360255,male
39,eeafdbee-ff71-452e-8506-ec75c774bc1c,P20,place of death,Vienna,Alois Riegl,Q692100,male
40,053875b4-008e-47ee-a3a3-8d2881178a32,P20,place of death,Montreal,Jean Drapeau,Q979154,male
41,fa3a19c2-9c07-4c76-bc6a-f2ada2a37cbf,P20,place of death,Karachi,Khursheed Bano,Q6403133,female
42,423408be-eac4-41cd-8517-bdb2bf731cef,P20,place of death,Hobart,Henry Dobson,Q5720381,male
43,fe4ad242-f546-4577-8892-5a341d850193,P20,place of death,Miami,Nicholas Liverpool,Q310129,male
44,973f6bff-bfb1-410b-94dd-9f1b182ed276,P20,place of death,Aleppo,Hagop Oshagan,Q5638801,male
45,7b105bdc-ec60-44a4-9575-5a4af1d5ada2,P20,place of death,Bremen,Carl Carls,Q69127,male
46,235b802d-6b0b-4863-a495-c2a8e01f1feb,P20,place of death,Tehran,Saeed Nafisi,Q4816509,male
47,95ec119c-86c3-4083-b3b4-20a986fc0dc4,P20,place of death,Cincinnati,Martin Baum,Q6774955,male
48,dd276075-2636-4e92-9604-2c28207a5ca7,P20,place of death,London,Edward Bowring Stephens,Q16063176,male
49,5ae3442d-7b76-4007-aef5-bcc1a3921876,P20,place of death,Oslo,Halvor Schou,Q5643773,male
50,f753c5ae-c600-4172-b935-e6f1b4b1e2d2,P20,place of death,Montreal,Kate McGarrigle,Q235084,female
51,ca1ecc16-eca5-4c92-bf68-0267bf3241a6,P20,place of death,Berlin,Ehrhardt Post,Q78296,male
52,610a9af4-6868-43d5-8ab5-44f60060c3e3,P20,place of death,Italy,Pietro Ferrero,Q1296559,male
53,9e715530-7faa-4aa2-a4f9-d44c53529f16,P20,place of death,Rome,Clement XIV,Q131587,male
54,5f86dadd-18e4-4fdc-831c-2ba3a92d3603,P20,place of death,Sydney,Garfield Barwick,Q1445155,male
55,33f18ca7-ef1f-4389-9165-23ed78e6489c,P20,place of death,Chicago,Bill Veeck,Q2746900,male
56,5019d53c-40b5-41fd-ad48-1b37df6c56aa,P20,place of death,London,Thomas Arne,Q309709,male
57,c28b82cc-d938-4035-8e24-f316d41bd554,P20,place of death,Paris,Carlos Casagemas,Q1042805,male
58,37602271-8fdf-49f8-b41d-a0c053eca37c,P20,place of death,Bologna,Gaetano Gandolfi,Q1491011,male
59,f81528ac-19c5-4d22-8236-7487b55a910d,P20,place of death,London,Charles Cowper,Q2958816,male
60,98770b9f-c4cf-4709-86f1-a40573da7b45,P20,place of death,Paris,Anatole de Monzie,Q2845619,male
61,1bc8821d-25f4-4af6-8eda-f3726d7c98a7,P20,place of death,Tehran,Khosrow Shakibai,Q372642,male
62,5f68ea97-1dd1-4f2d-ba5e-3b2a02354fb5,P20,place of death,Medina,Umar ibn Al-Khattāb,Q8467,male
63,88386aa1-7d25-4614-bac3-b979c4be8841,P20,place of death,Amsterdam,Diederik Korteweg,Q1220238,male
64,bb009f4d-1529-4a49-9a5b-8f9df6cc3c82,P20,place of death,London,Astley Cooper,Q749557,male
65,8a386075-a2ba-4e12-a32e-f7f913e9a4f5,P20,place of death,London,Theo Crosby,Q7781440,male
66,221a9222-829d-4fff-a195-755648be5424,P20,place of death,Munich,Evaristo Felice Dall'Abaco,Q26931,male
67,8486f4ed-13de-49b5-9eaf-684f80d2258a,P20,place of death,Rome,Realdo Colombo,Q367016,male
68,b3147209-c08c-48dc-afaa-6d74af6babbc,P20,place of death,Paris,Pierre Sancan,Q426235,male
69,d0669892-8cea-4c77-b5c3-5b3d04d87715,P20,place of death,Bern,Markus Feldmann,Q550199,male
70,bae1969b-a956-47bc-bd0a-1bd2a91739dc,P20,place of death,Paris,Duchess Sophie Charlotte in Bavaria,Q60912,female
71,1cee0711-7757-44ef-bc34-69c6af9f9fd6,P20,place of death,London,William Bayliss,Q594936,male
72,c341abab-1d56-4d1d-8a1e-8f9adb8cf9b0,P20,place of death,Singapore,Ng Eng Teng,Q7021744,male
73,d274044c-753c-4939-a6e8-cdc14da6c93f,P20,place of death,London,James Rennell,Q965945,male
74,beb55fe5-6f74-456f-b3be-8e8e4ce96d27,P20,place of death,Paris,Jean-Pierre Rampal,Q186359,male
75,781334cc-57d5-4fb1-aaab-cb9ab55890dc,P20,place of death,Munich,Johann Andreas Schmeller,Q76448,male
76,b44fd4d4-b09f-4b50-89ac-ae7b39b855d8,P20,place of death,Dallas,Everette Lee DeGolyer,Q5417087,male
77,274e7cee-80af-4e33-89ef-045527df76db,P20,place of death,Vancouver,Marjorie Pickthall,Q6766322,female
78,e03f17c8-5782-4de1-95be-527f0422a5c1,P20,place of death,Edo,Tanuma Okitsugu,Q521070,male
79,eb9b083d-7b02-443f-ae26-8db6228c3ef7,P20,place of death,Paris,Reynaldo Hahn,Q432938,male
80,5c5f2c2c-4d05-4f9e-a94a-ec87e1106915,P20,place of death,London,Wilkie Collins,Q210740,male
81,4b6686d8-bfe2-4294-ac10-dcc3634c5d9c,P20,place of death,Tokyo,Mas Oyama,Q294548,male
82,020a3ded-7219-4645-8996-f45e0eb528ab,P20,place of death,Milan,Giannina Arangi-Lombardi,Q442774,female
83,514c8e76-b8ab-4efe-9c6f-9b17bd4b3141,P20,place of death,Rome,Clement III,Q171001,male
84,f024a0cf-d984-41f2-b48f-68291d10bf96,P20,place of death,Rome,Balbinus,Q1805,male
85,8ca0b852-dd57-4417-bcd6-2fdccc4395d5,P20,place of death,Paris,Dimitri Kirsanoff,Q3028124,male
86,8ff35073-6106-4bb5-a921-8d6eb2056b42,P20,place of death,Medina,Muhammad al-Baqir,Q311153,male
87,276814ce-1b6c-4557-896a-b2e116252091,P20,place of death,Moscow,Alexander Afanasyev,Q325004,male
88,78db0e91-6700-41fb-a8b7-7076eba3ec9b,P20,place of death,Salzburg,Aloysia Weber,Q79022,female
89,84c08e62-0589-4385-9810-3b45c4d0abf9,P20,place of death,Lexington,John C. Breckinridge,Q273212,male
90,cc24c39c-98a5-4b6c-b159-1e8debff5c38,P20,place of death,Oslo,Haakon Lie,Q980028,male
91,bfa7d440-5f8e-42b2-a1dd-6335e7b82c98,P20,place of death,Windsor,Oliver Ellsworth,Q515858,male
92,cf97cae2-3e63-459f-bf92-4428864856ed,P20,place of death,Minneapolis,Charles Alfred Pillsbury,Q5075067,male
93,abd5c274-14cc-4546-9eab-cc2189d904a2,P20,place of death,Baku,Elmar Huseynov,Q5366405,male
94,34c090bc-c71b-40c7-814e-9be95ef636b5,P20,place of death,Istanbul,Hrant Dink,Q110126,male
95,0fc6984d-a88a-4c24-b474-b1c096cdc3ce,P20,place of death,Constantinople,Nikephoros III Botaneiates,Q41689,male
96,d5b07789-8792-4df4-8b07-cde39102be8b,P20,place of death,Toronto,Wayne Robson,Q2094939,male
97,bcf7227b-1f94-4a2f-b5dc-650ab87c287f,P20,place of death,Augsburg,Saint Afra,Q114845,female
98,7bb3faa0-9c4b-4f16-b1f6-cf875d853a62,P20,place of death,Amsterdam,Philips Vingboons,Q2448752,male
99,e16caba6-8eac-430d-a669-61d08a9a005b,P20,place of death,Copenhagen,"Knud, Hereditary Prince of Denmark",Q381069,male
100,b9584053-58e9-44b3-a09e-ec14cbecce8a,P20,place of death,Stockholm,Kurt Atterberg,Q440388,male
101,2b897c9e-991d-47ce-b2b5-a37c55c12d89,P20,place of death,Athens,Yiannis Latsis,Q455562,male
102,cdd25145-eff7-4a6d-9098-433423395a1b,P20,place of death,Chennai,Muthulakshmi Reddi,Q4794148,female
103,b19ec3ce-7a7e-474f-be18-4d0dc822e35b,P20,place of death,Venice,Antonio Sartorio,Q605062,male
104,ab906efe-cc8d-41e7-a82b-35218e8ba2ec,P20,place of death,Paris,Marco Ferreri,Q53018,male
105,8deee387-f1a5-4ddb-b277-49faba2a5603,P20,place of death,Edinburgh,James Young Simpson,Q470140,male
106,82a8259c-16f1-465e-8b8c-fc2d3578daaa,P20,place of death,Gabon,Bartholomew Roberts,Q313430,male
107,9d169b89-5a0a-4098-a123-1091f04b9a41,P20,place of death,Paris,Ticky Holgado,Q2121322,male
108,12a80f57-2cf5-44f0-8ffc-1a56f89dfcae,P20,place of death,Paris,Pierre Beauchamp,Q1384975,male
109,0059e332-9bf4-46c2-be70-e0e726eb35c5,P20,place of death,Rome,Paulus Manutius,Q941151,male
110,43728ba9-373b-457c-b25a-af222ccf1d5e,P20,place of death,Melbourne,Peter Benjamin Graham,Q7172767,male
111,993e414b-d2d6-407d-bb9e-9e4c6d25aab0,P20,place of death,Nottingham,George Brough,Q1507013,male
112,5cde8a29-65a9-4b8e-8637-fe6bc79b7a26,P20,place of death,California,Henry Dreyfuss,Q940346,male
113,028c88c4-8c5e-47a7-841d-f2b366bb3ff4,P20,place of death,Java,Alexander Andreyevich Baranov,Q440782,male
114,63c2b802-0caf-4a09-a17b-24b8d12a5f41,P20,place of death,Warsaw,Jerzy Zawieyski,Q2510207,male
115,6f55adad-fc65-43db-ad13-3c6b94c3f3a6,P20,place of death,Turin,Giovanni Pastrone,Q53043,male
116,b7c1a02b-90a7-4405-bd0e-5e286f0c8aef,P20,place of death,Indianapolis,May Wright Sewall,Q10327831,female
117,71d002e8-d332-49e9-ac00-612f11abb2cf,P20,place of death,Turin,Luigi Crosio,Q2311008,male
118,c4f766da-053b-4204-9f3f-180e84f40a18,P20,place of death,Paris,Marcel Tournier,Q557525,male
119,246a9fe2-3de1-44b2-bb35-f60330329cee,P20,place of death,Venice,Elizabeth Billington,Q5362421,female
120,67fd0952-9c0c-486a-a516-8c3ba03c6b3a,P20,place of death,Berlin,Leser Landshuth,Q1329275,male
121,ba67be06-045d-40e2-a0d7-aacbc296e67a,P20,place of death,Rome,Demofilo Fidani,Q348383,male
122,413a7ef7-7943-4c0b-a25b-4249da935e9d,P20,place of death,Moscow,Alexander Alexeyevich Gorsky,Q980208,male
123,283f86f0-93d1-415b-a41f-0b09446a1873,P20,place of death,London,Alexander Ivashkin,Q4197042,male
124,cefbec8e-3954-476e-abed-8de8422bb3b3,P20,place of death,Zagreb,Miko Tripalo,Q640589,male
125,96c4b4f5-4fe3-4f2b-b3eb-97de96afd459,P20,place of death,London,John Broadwood,Q264239,male
126,34ca3706-c3ea-4648-859e-b17a55c6f5d7,P20,place of death,Nuremberg,Johann Pachelbel,Q76485,male
127,7de8e48f-b2bb-4710-bf5c-9a5b891d1c05,P20,place of death,Paris,Yves Rocard,Q325711,male
128,e5f0635b-e0c2-4e2a-913c-41cff8f6c414,P20,place of death,London,Wilfred Thesiger,Q540031,male
129,eb2f9616-04ea-4367-9833-4e5da12c1af2,P20,place of death,Paris,Paul Gorguloff,Q1337810,male
130,6b4e19d7-6ae5-478f-b992-e30c45954f22,P20,place of death,Paris,Henri Valois,Q1216298,male
131,c38e4403-79ad-4373-bf81-abdfb7bd3d43,P20,place of death,Constantinople,Procopius,Q186153,male
132,b148ea5c-755d-47ce-8b6b-f80c8842ac5a,P20,place of death,London,Lennox Randal Francis Berkeley,Q514975,male
133,50bcd59f-7787-41a9-8964-a32d6edd8d99,P20,place of death,London,Vaslav Nijinsky,Q194363,male
134,b911f530-10ef-4ea8-9235-d1ed053e695b,P20,place of death,Leipzig,Stanislaw Trabalski,Q100408,male
135,4b147ed2-cc75-42d2-9c71-bda9ce25980b,P20,place of death,Venice,Sebastiano Bombelli,Q963486,male
136,059f924c-a965-4743-8e35-c842ce052c1e,P20,place of death,Leiden,Cornelis Engebrechtsz.,Q964357,male
137,674e5d78-36c3-422c-bb7d-fafc4aa6ad90,P20,place of death,Rome,Leo X,Q49237,male
138,09c9dc55-e4db-4fb4-b376-496ddb1c34f6,P20,place of death,Santiago,Diego Barros Arana,Q943158,male
139,e0eacfb2-2b4a-4ff1-a855-360784f4f2e1,P20,place of death,London,Laurence Sterne,Q218960,male
140,8ff14299-9e3d-48e5-b8ef-26adc67761b4,P20,place of death,Milan,Barnaba Oriani,Q708082,male
141,69061f44-2aeb-4631-ba6e-f2318bcb8319,P20,place of death,London,George Dance the Younger,Q1770335,male
142,662b5ddc-46e8-47a8-9295-41c6ae402655,P20,place of death,Paris,Henri Bouchard,Q2745340,male
143,b1f79a94-2943-4810-90cc-a03c4360ac66,P20,place of death,Rome,Luigi Rizzo,Q337707,male
144,9ba7b1fa-fd12-4a9e-b794-0f438ce9f59a,P20,place of death,London,John Wilkins,Q381039,male
145,d10931bc-1831-428a-86d4-d77cee5c94e0,P20,place of death,Edinburgh,Thomas Chalmers,Q563069,male
146,40599227-cb3c-4640-b425-68592c896049,P20,place of death,Chicago,Little Walter,Q380261,male
147,d5e1615f-c915-4dab-b160-6eae2939c942,P20,place of death,Florence,Maso da San Friano,Q2253581,male
148,1f3454cf-078f-41a7-a637-193790f236c7,P20,place of death,Kabul,Mohammad Najibullah,Q207728,male
149,1d3347a8-693d-441a-9e1c-c919fc324083,P20,place of death,Florence,Donatello,Q37562,male
150,8dd8669c-f08c-4698-95e4-71efae8c31ac,P20,place of death,Chicago,Freddie Lindstrom,Q3087008,male
151,7e9547d7-44f3-466b-9dc4-57c1deec2c6f,P20,place of death,Kolkata,Job Charnock,Q2985082,male
152,7d0bff82-e94e-47d0-ae53-878c5b16ba94,P20,place of death,Havana,Manuel Arteaga y Betancourt,Q1349286,male
153,b80ac7db-2831-4a07-89cf-79eb054e479f,P20,place of death,Oslo,Rowland Greenberg,Q7372134,male
154,02040a40-4880-455a-811e-ca8dcc1110a4,P20,place of death,London,Alex Welsh,Q1423234,male
155,a694d8b8-89f0-48c3-a3d5-1dde1c5998db,P20,place of death,Venice,Leonardo Donato,Q250338,male
156,e4754091-5309-4fb3-94f1-b47578c9de60,P20,place of death,Boston,John Smybert,Q3182482,male
157,9b9ae33d-b9e7-4402-8ea6-3873bdc69df2,P20,place of death,London,John Henry Foley,Q1925736,male
158,01a68d93-c65d-4af1-a940-8b9c8db88a4f,P20,place of death,Venice,Biagio Marini,Q369787,male
159,4814a416-1ecc-4ce7-ba9e-fa69e9dc5b12,P20,place of death,Taipei,Chiang Ching-kuo,Q313598,male
160,e3785cd8-caaf-4b76-a76a-16de9f00280b,P20,place of death,Connecticut,Israel Putnam,Q622130,male
161,d91c55bc-5131-4134-b9bb-6a4f2a3ff2a9,P20,place of death,Milan,Ernesto Calindri,Q604948,male
162,2dc26dda-7ec2-4f45-9a1b-cd57a2468106,P20,place of death,Chapman,Frankie Burke,Q5490926,male
163,53d01a62-baea-48ab-a0a9-2dea84458dd4,P20,place of death,Bologna,Anna Morandi Manzolini,Q269701,female
164,f67956d4-7662-4e0c-bb17-25b0188bb5d8,P20,place of death,Jakarta,Lie Kim Hok,Q6543801,male
165,25a97ba3-759b-46e4-8c68-5447502dcc4c,P20,place of death,Naples,Sebastiano Conca,Q774781,male
166,ad0a6b7f-d970-4303-bff2-0210d141a165,P20,place of death,Naples,Annibale de Gasparis,Q110709,male
167,a21bb627-345c-45d0-ac82-b9f95153bf69,P20,place of death,London,Edward Joseph Dent,Q1292053,male
168,9c1dc4a0-ed85-4c64-b15b-e10651660515,P20,place of death,Munich,Franz Pfeffer von Salomon,Q62748,male
169,e7d106d6-a679-4a53-9ba4-fb76b51da69b,P20,place of death,Montreal,Pinhas Hirschprung,Q2896783,male
170,9c385852-d7f4-4da6-8138-a69b21f0e229,P20,place of death,London,Robert Hooke,Q46830,male
171,f687141c-3660-49a8-9901-39fa40b999da,P20,place of death,Ponce,Emilio Navarro,Q2635890,male
172,efbd9e25-e274-4dc2-aad0-946afcd02859,P20,place of death,Boston,Samuel Adams,Q212963,male
173,60374e0f-a29a-48ed-a981-05796c935077,P20,place of death,Moscow,Peter Romanovsky,Q668947,male
174,fb386fe5-8bc5-4aa4-8b2e-f48c1c58e7e0,P20,place of death,Rome,Giacinto Brandi,Q1748199,male
175,ef7149d2-1d7c-46e5-a9e0-56cdb6314dc2,P20,place of death,Syracuse,Timoleon,Q451587,male
176,fec54684-29c8-4f9e-9d94-efb85358bded,P20,place of death,Detroit,Rosa Parks,Q41921,female
177,fa6b0329-21e9-4f01-9cab-d98cffea263c,P20,place of death,Pittsburgh,Oliver Evans,Q2020205,male
178,45c8c36f-802e-4e0f-94be-e747a93ca00c,P20,place of death,Montevideo,Rafael Barradas,Q2054418,male
179,d92be9db-63d1-4000-9166-ae80414b6406,P20,place of death,London,Ian Standish Monteith Hamilton,Q699617,male
180,ee92cb28-2a6b-4e7c-86e6-348d5e6a0eb0,P20,place of death,Nuremberg,Johannes Werner,Q76161,male
181,c400483e-bc29-4898-a487-6b6963240d50,P20,place of death,Dublin,Brian O'Nolan,Q469093,male
182,962876fa-7b08-458d-b21f-707f22e8b65d,P20,place of death,Palermo,Cesare Terranova,Q266655,male
183,36ce03f8-ee7e-4342-bce5-6c6133988521,P20,place of death,Atlanta,Louis Krages,Q69379,male
184,3d60a475-fd37-4daa-b86e-f2d56980abde,P20,place of death,Amsterdam,Saúl Levi Morteira,Q7427317,NaN
185,39024d0b-1920-454b-96ce-6be4e65cb089,P20,place of death,Paris,Marie François Oscar Bardy de Fourtou,Q330554,male
186,342e48a7-b20a-48ac-95b6-790ec12a78c9,P20,place of death,London,Julian Huxley,Q243419,male
187,4b3808bb-4e75-449c-b95c-17181f2eddc2,P20,place of death,Moscow,Oleg Lundstrem,Q1390611,male
188,da3047b1-6290-453b-a759-a6d397a865b8,P20,place of death,Constantinople,John VIII Palaiologos,Q37062,male
189,d60b1399-d9a3-498a-873f-ea814d92e641,P20,place of death,Leipzig,Ignaz Moscheles,Q159551,male
190,067306a7-41c2-4479-bcdb-dde9a358bc1f,P20,place of death,Monaco,"Lucien, Lord of Monaco",Q1405858,male
191,f5b69d41-506f-45e8-a2b9-adf8bd1ecbc9,P20,place of death,Hiroshima,Sadako Sasaki,Q231997,female
192,d87c2614-aa7b-4ac0-aa2a-b24e5974690e,P20,place of death,Barcelona,Ricard Lamote de Grignon,Q4893561,male
193,f804c963-c903-46a5-af2e-2bb0d13b993e,P20,place of death,London,Rutland Barrington,Q5566289,male
194,599de61c-a960-46c2-8c59-89ad012f07ed,P20,place of death,Beijing,Yuan Shikai,Q210329,male
195,d8119a29-2dbe-441b-b1aa-8cab5c38114e,P20,place of death,Brisbane,Archie Jackson,Q2860157,male
196,2108843e-c66f-4a43-91fc-2a470427f785,P20,place of death,Paris,Jean-Baptiste Joseph Delambre,Q246517,male
197,ed60ff83-b1b8-4184-b9a5-be95b201afc9,P20,place of death,Amsterdam,Prince Claus of the Netherlands,Q159609,male
198,9897d1d0-0902-4a51-99ec-9244f3979a7e,P20,place of death,Surrey,John Dee,Q201484,male
199,570a1f31-59e7-4f8f-a519-40cf5353d27b,P20,place of death,Manila,Arsenio Lacson,Q3492554,male
200,0b2bc605-b25c-40b3-aa6e-736a75df1d8f,P20,place of death,Heidelberg,"Reinhard III, Count of Hanau",Q91899,male
201,07209e30-fa3e-4d08-8da0-e4c3fd779a76,P20,place of death,Paris,Jean-Baptiste Marie Pierre,Q2327270,male
202,fe67e0f3-f336-4311-9e6b-5b0cc4c20ec8,P20,place of death,Munich,Paul Hoecker,Q315856,male
203,a4212885-606e-4c0f-a205-0c91c980218b,P20,place of death,London,"Quintin Hogg, Baron Hailsham of St Marylebone",Q175366,male
204,a4b4ebf0-f7c7-46e5-a4dd-dade19d5c4b5,P20,place of death,Winnipeg,Ralph Connor,Q3068527,male
205,e75150e1-3042-4430-92da-8a4918524c49,P20,place of death,Kolkata,Bidhan Chandra Roy,Q2901773,male
206,557fc817-42ae-4c3d-9533-b8efc9012e83,P20,place of death,Hamburg,Johann Hinrich Wichern,Q73048,male
207,da88bb3b-da03-4cc8-b2b0-f1183402376a,P20,place of death,London,Kenelm Digby,Q45838,male
208,25f5dd10-7c57-49cf-9b57-0975b5c16760,P20,place of death,Wellington,Edward Gibbon Wakefield,Q255492,male
209,c76c2871-e00c-43f6-86b4-cbc238414ac9,P20,place of death,Naples,Girolamo Imparato,Q3107688,male
210,ff920854-fd19-4ff0-997d-5abb73396b12,P20,place of death,Vienna,Moritz Michael Daffinger,Q254509,male
211,3fccbb97-230b-4fb9-9f6f-3aa3c0d9991b,P20,place of death,Rome,Goffredo Petrassi,Q505806,male
212,dc23c92e-9711-4926-a818-586541c51ef9,P20,place of death,Berlin,Moritz Steinschneider,Q78906,male
213,0c1c8177-1591-4826-a3a9-eb9c4be2e411,P20,place of death,Moscow,Sergey Ivanovich Vavilov,Q324968,male
214,237f07a3-15d9-4209-a290-179e35610c92,P20,place of death,Sheffield,Joseph Wostinholm,Q6288078,male
215,3f9ab4eb-7e70-465e-812b-6075266265ae,P20,place of death,Tehran,Morteza Momayez,Q10294036,male
216,022bcd14-057e-40d9-9e7b-d290eb4df5d0,P20,place of death,Genoa,Carlo Bo,Q1041908,male
217,7b7c77f8-d636-43bb-b6da-df5bba6151b2,P20,place of death,Lisbon,Soeiro Pereira Gomes,Q538838,male
218,dc0e8955-6250-4e70-84d1-c434777467cb,P20,place of death,Nuremberg,Peter Henlein,Q61218,male
219,634a1634-2178-4202-b641-11fb20f25bef,P20,place of death,Boston,Henry Sargent,Q3543621,male
220,de10be70-5d96-4c43-b858-d2738cce4294,P20,place of death,Rome,Mariano Rampolla,Q508860,male
221,6d1df263-f816-4256-ad99-a8bda9e3692a,P20,place of death,Rome,Arnaud d'Ossat,Q2863243,male
222,c31fdb66-b438-4b17-becb-2173494340dd,P20,place of death,Cornwall,"Sir Edward Buller, 1st Baronet",Q7526526,male
223,8c25a6fe-100d-4cb7-884f-6f316d47084b,P20,place of death,Paris,Fernandel,Q129092,male
224,c0d60f8a-57c1-4739-a3f0-d24085c89249,P20,place of death,Caucasus,Aleksey Belevsky-Zhukovsky,Q2834460,male
225,96711f9d-1dd3-4202-8555-34ff3b3b2c90,P20,place of death,Jerusalem,Obadiah ben Abraham,Q924800,male
226,d7dec00d-9e94-4f09-915a-db0522ded93f,P20,place of death,Tbilisi,Ramaz Chkhikvadze,Q1966522,male
227,f8cb10a9-e8fc-4950-822d-2d0fbe803549,P20,place of death,Toronto,Stephen Leacock,Q508029,male
228,8b38f780-a503-48d5-9010-36b6d12832f3,P20,place of death,Turin,Cesare Pavese,Q2022,male
229,64d798ed-5a34-493e-8a0d-1585b4dc37ee,P20,place of death,Vienna,Alfred Hrdlicka,Q78646,male
230,1fc74527-3cbb-40a2-b761-c01f73e8e3bb,P20,place of death,Paris,Pierre Contant d'Ivry,Q1891629,male
231,52d4aa95-a226-4496-a963-64c272b4f652,P20,place of death,Constantinople,Michael II,Q41640,male
232,157f4044-b0f0-4d28-8964-57c01257575f,P20,place of death,Auckland,Frank Sargeson,Q345731,male
233,e9055be5-57d3-4dc6-b482-1253dee0c1e0,P20,place of death,London,John Soane,Q549786,male
234,b81a3638-2854-4dfb-b82b-4bad157557c8,P20,place of death,Cleveland,Zenas King,Q8069015,male
235,e9239ced-d3d5-424b-9776-d862af065d92,P20,place of death,Dresden,Andreas Bang-Haas,Q495935,male
236,63ea1927-0d56-49d0-9fb1-3fa4fd250208,P20,place of death,Berlin,Karl Liebknecht,Q75886,male
237,27d5bcc8-b9bb-4aeb-9ddb-c58f9d8723af,P20,place of death,London,Cornelius Vermuyden,Q336981,male
